timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1738606420371,764,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701-1,200,OK,Thread Group 1-2,text,true,,281605,704,3,3,https://pay.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701&checkoutMode=10,740,0,731
1738606418067,973,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,306454,1922,3,3,null,200,2095,49
1738606420529,613,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701,200,OK,Thread Group 1-3,text,true,,282175,1414,2,2,https://pay.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701&checkoutMode=10,156,0,20
1738606420529,156,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701-0,307,Temporary Redirect,Thread Group 1-3,,true,,570,710,2,2,https://payment.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0%3D.1738605778701&checkoutMode=10,156,0,20
1738606420687,455,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701-1,200,OK,Thread Group 1-3,text,true,,281605,704,2,2,https://pay.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701&checkoutMode=10,430,0,418
1738606418401,646,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,306454,1922,2,2,null,183,2096,39
1738606419876,1273,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701,200,OK,Thread Group 1-1,text,true,,282175,1414,1,1,https://pay.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701&checkoutMode=10,165,0,25
1738606419876,165,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701-0,307,Temporary Redirect,Thread Group 1-1,,true,,570,710,1,1,https://payment.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0%3D.1738605778701&checkoutMode=10,165,0,25
1738606420042,1107,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701-1,200,OK,Thread Group 1-1,text,true,,281605,704,1,1,https://pay.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701&checkoutMode=10,1083,0,1063
1738606417734,1318,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,306454,1922,1,1,null,204,2097,56
